,TOK,SHOT,GROUP,CONFIG,IP,BT,NEL,RGEO,AMIN,KAREA,EPSILON,DELTA,DELTAU,DELTAL,MEFF,POHM,PNBI,PECRH,PICRH,PLTH,PRAD,TAUTH,TAU98Y2,HIPB98Y2,TAU20,H20,IPN,qCYL,GWF,HIGHZ,COAT,PFIN,PRFN,PLH,SELDB5,STD3,DB2P8,AUXHEAT,PHASE,HYBRID,ITB,ITBTYPE,ELMTYPE
8748,JET,47275,MODERN,SN(L),1.3,1.373,2.377,2.937,0.9273,1.561444632,0.3157303370786517,0.2513,0.2263,0.2763,1.984,0.2507,5.2459999999999996,0.0,0.0,4.865,1.25,0.2665,0.248483129536045,1.072507419,0.23463108762740809,1.1358256175464672,1.0210630381542196,2.414128322978968,0.4939423022965822,0,1,2.1360987398882134,0.0,2.4558789825766825,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8750,JET,47276,MODERN,SN(L),1.599,1.675,2.917,2.939,0.9293,1.561058051,0.3161959850289214,0.2597,0.2369,0.2825,1.982,0.1625,13.78,0.0,0.0,12.87,2.835,0.1557,0.17281314365335007,0.900973136,0.16495135732946978,0.9439146335062201,1.0272537024337045,2.402523772627281,0.49493676158495253,0,1,4.0851975746114615,0.0,3.37315386791558,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8751,JET,47276,MODERN,SN(L),1.589,1.677,2.785,2.938,0.9246,1.567420661,0.31470388019060586,0.2498,0.2247,0.2749,1.983,0.22569999999999998,8.698,0.0,0.0,8.02,1.7449999999999999,0.2333,0.23363656953674886,0.998559431,0.22225199355928044,1.0497093693684811,1.024794876567359,2.4066931597076624,0.47071599202128594,0,1,2.6867298366900876,0.0,3.23739286370359,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8752,JET,47276,MODERN,SN(L),1.5879999999999999,1.675,2.718,2.938,0.9248,1.57601703,0.31477195371000677,0.253,0.2313,0.2747,1.983,0.2767,7.282,0.0,0.0,7.1659999999999995,1.755,0.2684,0.25091078553544305,1.06970292,0.23934251663454978,1.121405439259327,1.0251510613024841,2.4195749209050756,0.45987994330963566,0,1,2.294214446025306,0.0,3.174071200107715,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8753,JET,47277,MODERN,SN(L),1.5799999999999998,1.674,3.3089999999999997,2.94,0.9281,1.564765145,0.31568027210884353,0.2552,0.2315,0.2789,1.985,0.32389999999999997,6.085,0.0,0.0,5.835999999999999,1.386,0.3569,0.3111425851818617,1.147062527,0.2856765727150056,1.2493149039422558,1.0169670001932236,2.4286210204764793,0.5667337784806444,0,1,1.6392995594861588,0.0,3.7119512201341367,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8754,JET,47278,MODERN,SN(L),1.591,1.673,2.944,2.941,0.9205,1.580004812,0.3129887793267596,0.2539,0.2279,0.2799,1.974,0.223,7.899,0.0,0.0,7.455,1.7129999999999999,0.2627,0.2526393520015591,1.039822173,0.2382425150035739,1.1026579365822224,1.0331192311151356,2.3933528800180386,0.49256674128509614,0,1,2.337676190907733,0.0,3.378996642359083,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8755,JET,47278,MODERN,SN(L),1.585,1.674,2.722,2.938,0.9258,1.571407137,0.31511232130701156,0.2511,0.2293,0.2729,1.976,0.3196,6.574,0.0,0.0,6.191,1.285,0.2952,0.2765621227763773,1.067391286,0.26270546223500013,1.1236919000029482,1.0227197350452566,2.4208477341867427,0.4624268896236124,0,1,2.0602523832132773,0.0,3.1908712027537356,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8756,JET,47279,MODERN,SN(L),1.878,1.969,4.351,2.931,0.9337,1.558927677,0.31856021835551007,0.2697,0.2572,0.2821,1.983,0.11249999999999999,14.7,0.0,0.0,14.74,3.469,0.2723,0.22015885424098117,1.236834199,0.20108120444698172,1.3541792767199992,1.0215097424451929,2.43077633306181,0.6345386578686608,0,1,2.809760120022352,0.0,5.231763343513844,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8757,JET,47279,MODERN,SN(L),1.8679999999999999,1.968,4.08,2.931,0.9323,1.552079448,0.31808256567724325,0.2527,0.2333,0.272,1.984,0.283,9.725,0.0,0.0,9.913,2.352,0.3309,0.27935072003730066,1.184532475,0.25466085058061555,1.299375224914087,1.018113259540833,2.424530907187145,0.5964094722177189,0,1,1.9593255035304207,0.0,4.963442767665178,1,1.0,0.0,NB,HGELM,UNKNOWN,UNKNOWN,,TYPE-I
8758,JET,47280,MODERN,SN(L),1.317,1.368,2.774,2.939,0.9284,1.559086491,0.3158897584212317,0.2795,0.2643,0.2947,1.976,0.031279999999999995,14.35,0.0,0.0,13.219999999999999,2.522,0.1313,0.13431051874648492,0.977585384,0.12705042954447715,1.033447903094536,1.0369660687695108,2.374713454145166,0.5703491754634932,0,1,5.162515039178341,0.0,2.7796529193809234,1,1.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
8759,JET,47281,MODERN,SN(L),1.307,1.37,2.394,2.939,0.9217,1.569458313,0.3136100714528751,0.2547,0.2283,0.2811,1.987,0.2191,5.7,0.0,0.0,5.178,1.403,0.2514,0.24024347295704568,1.046438419,0.2274454490847818,1.105319983370118,1.0350597792558816,2.3776304690154544,0.4888522362076287,0,1,2.3275899495406125,0.0,2.4488849512024173,1,0.0,0.0,NB,HSELM,UNKNOWN,UNKNOWN,,TYPE-I
